index,product_name,about_product,review_title,review_content,img_link
0,d-link dwa-<number> mbps wireless nano usb adapter,connects your computer to a high-speed wireless networksupports wpawpa2 wireless encryption to help prevent outside intrusion and protect your personal information from being exposed.3 year brand warranty2.4 ghz frequency band <number> mbps2 fixed internal wi-fi antennan300 mimo wi-fi usb adapterthis is a plug and play device with generic configurationcompatible with all cctv dvrs,"good tool to use for,brand is always good,overall good and a better experience,it is useful to me.,works well with cpplus dvr,good,its not plug an play u need to install the driver and will support till <number> ghz not above that,surveillance camera in my house","good quality tool from d linkwifi signal is good,nice product,overall good and a better experience,it funcions properly and useful to me.,i you want to buy it for cp plus orange dvr, it works.,nice,its not plug an play u need to install the driver and will support till <number> ghz not above that. im using in jio wifi so its not supporting <number> g connectivity as its <number>,the first reason i bought this item was to have a surveillance camera in my house. to view it on my mobile used,etc....",https://m.media-amazon.com/images/I/31+NwZ8gb1L._SX300_SY300_.jpg
1,d-link dwa-<number> mbps wireless nano usb adapter,connects your computer to a high-speed wireless networksupports wpawpa2 wireless encryption to help prevent outside intrusion and protect your personal information from being exposed.3 year brand warranty2.4 ghz frequency band <number> mbps2 fixed internal wi-fi antennan300 mimo wi-fi usb adapterthis is a plug and play device with generic configurationcompatible with all cctv dvrs,"good tool to use for,brand is always good,overall good and a better experience,it is useful to me.,works well with cpplus dvr,good,its not plug an play u need to install the driver and will support till <number> ghz not above that,surveillance camera in my house","good quality tool from d linkwifi signal is good,nice product,overall good and a better experience,it funcions properly and useful to me.,i you want to buy it for cp plus orange dvr, it works.,nice,its not plug an play u need to install the driver and will support till <number> ghz not above that. im using in jio wifi so its not supporting <number> g connectivity as its <number>,the first reason i bought this item was to have a surveillance camera in my house. to view it on my mobile used,etc....",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31+NwZ8gb1L._SX300_SY300_.jpg
2,"tp-link nano usb wifi dongle <number> mbps high gain wireless network wi-fi adapter for pc desktop and laptops, supports windows <number> xp, linux, mac os x","<number> mbps wi-fi exceptional wireless speed up to <number> mbps brings best experience for video streaming or internet callseasy set up easy wireless security encryption at a push of the wps buttonantenna <number> dbi detachable omni directional antenna, remarkably strengthen signal power of the usb adaptercompatibility windows <number> xp, mac os <number> and earlier, linuxinterface usb <number> in an unlikely case of product quality related issue, we may ask you to reach out to brands customer service support and seek resolution. we will require brand proof of issue to process replacement request.","works on linux for me. get the model with antenna.,does what it say but other brands available at lesser price,easy handle,great product,perfect working,speed is perfect,great design, build, connectivity range, packaging and other features but no linux support since v2,very good","i use this to connect an old pc to internet. i tried lubuntu <number> and ubuntu <number>, it worked out of the box in both, didnt have to do any setup. theres an extender cable so you can place this in a comfortable place. get the model with antenna because otherwise youll have range problems if youre not directly in line of sight from your wifi router.,the wifi dongle is a simple plug play device, will start catching available networks right after you plug it into your usb port, no additional installations softwares requires. signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing, hence a star less.,proseasy to use portablecan be connected to mobile hotspot and used in pc budget friendlyless installation processno heating issues good coveragebest alternative for usb tethering phones battery may get damaged for long term run with tetheringconsinternet connection speed varies at times, also depends on your modem or cellular connectionissues occur while installing via cd, which is available along with the product installation driver can be downloaded from tp-link siteneeded to reconnect the adapter every time system is turned onwill not work if your software has some issues, so encountered any just update your systemworked for mesupport center is worse, calls are unattended most of the times or just visit nearby storeconclusionbrought this <number>-ideal for users who dont need very high speed internet usage,a good alternative for usb tethering and are on budge1080 p youtube videos can be easily played with this without any interruptions,wifi connectivity is a great good result for me. however, some jitter problems did exist.,this is perfect device to connect wifi. go for it.,this wifi adopter is good working,pictures attachedsizedesign build quality packaging software speed connectivity experience warranty size and designthe best part about this is that it is very compact in size and very sober and elegant in design. this is a big plus as it is easy plug in and use, add to it the good sober design.build qualitythe build quality is undoubtedly superb. just no qualms about that, at all. when held, it doesnt give off that cheap and flimsy product-like feeling. it is good sturdy with its build quality.packagingthis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. this ensures that i as a customer have received something not damaged internally already.softwarethis is actually good but not great part with the product.the good part is that a cd has been provided with it along with a manual.the not great part is that no linux support has been given from version <number> onwards. this is bad, really.speedit easily supports net speeds upto <number> mbps. practically speaking, i have tested it at my home and it easily supports net speed of over <number>-<number> mbps without a sigh.on testing i found that it did connect to <number> ghz network, without any issue.connectivityplease mark its not feet its metres. multiply metres x <number> to get the distance in feet.it easily connects to my laptop or phone from <number> metres across one room. so thats <number> feet. i mean even our old bluetooth used to connect to about <number> ft.so <number>-<number> feet is not at all an issue with this. this is the big plus i found with the product.experiencefrom this point of view, so far except the linux non-compatibility issue, i found no other flaws with this product.so overall its a great product.warrantyits <number> years so i am assured that atleast for <number> years i am tension-free and not just <number> year, contrary to most electronic items today that only provide <number> year warranty with their items.,best adapter i have bought ever. works nicely seemless connectivity",https://m.media-amazon.com/images/I/31Wb+A3VVdL._SY300_SX300_.jpg
3,duracell plus aaa rechargeable batteries pack of <number>,"duracell rechargeable aaa <number> mah batteries stay charged for up to <number> months, when not in useunused duracell rechargeable aaa <number> mah batteries are guaranteed to last <number> yearsduracell rechargeable aaa <number> mah batteries come pre-charged, ready to useduracell rechargeable aaa <number> mah batteries can be recharged <number> s timessuited for regularly used devices like wireless mouse or babyphonethey are available in aa <number> mah and aaa <number> mah sizesthey work in any nimh charger","works good,perfect replacement cell for trimmer,wow,as they said in ad worth it,a good product,fit for phillips trimmer.,good,good product","works good,bought it to replace my phillips qt4005 trimmers <number> yr old battery cell.old trimmer battery lost it torque... would not start without smacking it on the hand.soldering the connections was bit tricky but i got it done by sanding both side surfaces of the new battery cell.new duracell one does its job..trimmer works now like its supposed to.its lasts more than <number> minutes easily.charges like its supposed to.i am satisfied with it. saved an electronic device from being obsolete.if you want more performance..maybe get <number> mah cell....but for me thats expensive...750 mah is enough.long term performance is to be seen.,used for my philips trimmer. gives a backup of more than <number>-<number> days,really amezimg performance. i did not expected this much good and long performance. i am using diff company charger still these batteries fit well. and works for months. good performance in good price,charging is godd and battery is lasting longer after one charge,httpsm.media-amazon.comimagesi714 qcj-oghl.sy88.jpg,good,it shows good battery life as of now.",https://m.media-amazon.com/images/I/418YrbHVLCL._SX300_SY300_QL70_FMwebp_.jpg
4,"logitech b100 wired usb mouse, <number> yr warranty, <number> dpi optical tracking, ambidextrous pcmaclaptop - black","a comfortable, ambidextrous shape feels good in either hand, so you feel more comfortable as you work-even at the end of the day.with <number> dpi sensitivity, youll get precise cursor control so you can edit documents and navigate the web more efficiently.side-to-side scrolling plus zoom lets you instantly zoom in or out and scroll horizontally and vertically. perfect for working with spreadsheets and presentations.zero setup with flexible connectivity means you just plug it into your usb or ps2 port-it works right out of the box.this mouse is built by logitech-the mouse experts. it comes with the quality and design weve built into more than a billion mice, more than any other manufacturer.","handy mouse,good quality mouse,good one.,good,good cheap reliable,gud quality mouse,very comfortable,quality less price makes it best to buy.","liked this product,httpsm.media-amazon.comimagesi710 c5 jpdcrl.sy88.jpg,purchased for a laptop. perfectly working,good,very good mouse for a budget setup.,usefull . ... gud quality,the good thing about this mouse is that u can remove the scrolling clip attached inside the scrolling wheel and the wheel becomes very smooth to scroll,the best of this mouse is its quality as per description, its totally worth it, best for professional usage, if searching for gaming also suitable but dont have dpi options, so for advance gaming you can search something else may be logitech g102 best mouse with dpi options, else go with this.",https://m.media-amazon.com/images/I/31iFF1KbkpL._SX300_SY300_QL70_FMwebp_.jpg
5,"logitech m235 wireless mouse, <number> dpi optical tracking, <number> month life battery, compatible with windows, mac, chromebookpclaptop","you can surf the web with more comfort and easethanks to the contoured design with soft rubber grips. and your mouse is easy to slip into a bag when you want to take it with you.youll enjoy smooth cursor control, precise tracking and easy text selection on the surfaces where you use your computer most.the tiny unifying receiver connects up to six unifying-compatible devices with a powerful, reliable wireless connection up to <number> meters.you can go a full year without battery hassles. the onoff switch helps conserve power, smart sleep mode extends battery life and an indicator light eliminates surprises.you get a mouse you can count on with the high quality and reliability that have made logitech the global leader for miceplus a three-year limited hardware warranty.","good silent mouse,too small to hold!,reviewing after <number> months of with battery backup review,its very small do take note of that, nice product,good product,good buy for normal use in office,stylish mouse","its little small for big hands. but best available in the market.,good product, but too smaller than the regular one!,hello everyone,i bought this mouse in april <number>, so after <number> months of use, im writing this review.battery the most important one <number> - it came with a single aa-sized battery clock battery that worked from <number> st april - <number> th december which is more than <number> months. even though my usage was heavy <number> hours average per day in a corporate job day of <number> hours.look <number>- amazing with beautiful curves. though battery closing pane could have been better.usb transmitter <number> - its normal and can be carried inside the battery cavity.switch <number> - onoff switch is not handy, you need a long nail to switch it onoff but is strong enough to resist a hard stroke when you force it to off with your nailless fingers.precision and laser <number> precision is just what most mouses have which is accurate and the laser is invisible no annoying light in the bottom.buttons <number> - buttons produce a slight noise on click and after a long usage the left button is shaking slightly.overall ratings <number> the main reason for you to buy this its battery efficiency, it will cost you only <number> inr for <number> months.,its very small and it trouble for my hand which is considerably smaller than other people it do fit nicely in <number> year old nephew but now mine but no complains works great from far distance so its good there its should be sold for <number> only its slighly over priced,nice mouse.easy to holdworking very smooth and fast, response time is very good.,good durable product,its a great mouse under this price for normal office use, it would have been much better if it had silent clicks!!!!!,working well so far.",https://m.media-amazon.com/images/I/31CtVvtFt+L._SY300_SX300_.jpg
6,sandisk cruzer blade <number> gb usb flash drive,"ultra-compact and portable usb flash drive,capless designshare your photos, videos, songs and other files between computers with ease,care number1800120589918004195592 protect your private files with included sandisk secureaccess softwareincludes added protection of secure online backup up to <number> gb optionally available offered by yuuwaapassword-protect your sensitive files. customer careindiasupportsandisk.comimporter detailsrashi peripherals pvt. ltd. rashi complex,a building,survey186,dongaripada,poman village,vasai bhiwandi road, dist. thane,maharastra <number>, indiashare your work files between computers with ease","good product,affordable,good,reding speed is only under <number> mbs,good product ,good,good product and value for money,all about it is very good product in suitable price.","very chip very good,really happy to buy this pen drive comparatively with low cost,very good,storage capacity is good,like,good,good product and value for money,its all good , you can vo for it.",https://m.media-amazon.com/images/I/310mw9KTJvL._SY300_SX300_QL70_FMwebp_.jpg
7,bluerigger digital optical audio toslink cable with <number> channel audio support,"enables easy installation of audio components to your audio or home theater systemdigital optical cable constructed with durable black pvc outer layer and corrosion-resistant gold-plated connectors for optimal signal transferprecision-polished optical connectors allow maximum signal transfer accuracy. specially optimized optical fiber for higher fidelitycompatible with spdif, adats, dolby digital, dts","value for money,a good upgrade from stock cable.,good cable,value for the money,great buy,overall good,awesome experience,worked as expected","using with my xbox and its working perfectly,a good upgrade from stock cable which i got from samsung. the sound quality has definitely improved in the soundbar. it is loud enough between <number>-<number> volume. however the subwoofer output has not improved significantly.,i got normal instead of premium cable with small size. but luckily i get use to it.,works really well.,absolutely top class for the money spent. no loss of signal, as good as if there is no splitter involved. fantastic buy as most tvs have only one optical output.,getting proper <number> channel surround sound.channel seperation is great.im using it in jio setbox with zebronics zuke <number> pro <number> sound bar,worked as expected with my lg tv",https://m.media-amazon.com/images/I/41CF6GtnpKL._SX300_SY300_QL70_FMwebp_.jpg
8,bluerigger digital optical audio toslink cable with <number> channel audio support,"enables easy installation of audio components to your audio or home theater systemdigital optical cable constructed with durable black pvc outer layer and corrosion-resistant gold-plated connectors for optimal signal transferprecision-polished optical connectors allow maximum signal transfer accuracy. specially optimized optical fiber for higher fidelitycompatible with spdif, adats, dolby digital, dtslimited lifetime warrantycountry of origin china","value for money,a good upgrade from stock cable.,good cable,value for the money,great buy,overall good,awesome experience,worked as expected","using with my xbox and its working perfectly,a good upgrade from stock cable which i got from samsung. the sound quality has definitely improved in the soundbar. it is loud enough between <number>-<number> volume. however the subwoofer output has not improved significantly.,i got normal instead of premium cable with small size. but luckily i get use to it.,works really well.,absolutely top class for the money spent. no loss of signal, as good as if there is no splitter involved. fantastic buy as most tvs have only one optical output.,getting proper <number> channel surround sound.channel seperation is great.im using it in jio setbox with zebronics zuke <number> pro <number> sound bar,worked as expected with my lg tv",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41CF6GtnpKL._SX300_SY300_QL70_FMwebp_.jpg
11,belkin essential series <number>-socket surge protector universal socket with <number> ft heavy duty cable,"maximum spike current <number> ampsgrounds ac power with <number>-line protection through all <number> socketsdelivers power through a <number>-metre, heavyduty cablessuperior designthe response time of this belkin essential <number> socket surge protector is less than <number> nano second, making it an efficient voltage stabilizerlifetime warrantymax <number> years","good product with bad resellers,works great,best in class.,best quality surge protector,sturdy and safe surge protector!,good,perfect product.,best quality","product is excellent. but belkin should check with their sellers as the packaging are worst and also wear and tear signs on the product package.,works great no problem so far.the build could have been slightly better,it a complate surge protection device, having a circuit to stop surge power fluctuations. go with it without any questions.,working without any issues from purchased,must needed surge protector for voltage fluctuations. brand belkin proven once again that they are trust worthy.,i have been using belkin surge socket for aroun <number> years for my desk top system and my tv. working well. added one more for another tv,been using for more than a year. no troubles at all. great quality,just go for it.",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/21m+6LxEnOL._SY300_SX300_.jpg
